epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.811,1.01407,2.47529,1.1251,0,0,0,0,0,0,0,0.000333124,0.000333124,0.000333124
2,591.863,0.99381,1.80864,1.11914,0,0,0,0,0,0,0,0.000600478,0.000600478,0.000600478
3,869.026,0.96649,1.53607,1.10871,0,0,0,0,0,0,0,0.000801832,0.000801832,0.000801832
4,1143.4,0.91756,1.37707,1.08544,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,1415.55,0.84056,1.22353,1.049,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,1691.42,0.7893,1.10637,1.0285,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,1963.66,0.74518,1.01386,1.00424,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,2232.12,0.69593,0.95007,0.98006,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,2507.36,0.6567,0.87039,0.96549,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,2824.14,0.62043,0.81915,0.95232,0.71258,0.58758,0.62834,0.52852,nan,nan,nan,0.000109,0.000109,0.000109
